type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number,latitude,longitude
Найпростіше укриття,,105,так,Львівський,Львівська,Львів,Генерала Чупринки,47,49.83055615,24.009063839826744
Найпростіше укриття,,316,так,Львівський,Львівська,Львів,Ряшівська,25,49.82045255,23.962461225447328
Найпростіше укриття,,100,так,Львівський,Львівська,Брюховичі,Антона Макаренка,4,,
Найпростіше укриття,,100,так,Львівський,Львівська,Львів,Генерала Чупринки,59,49.8296316,24.007397655955856
Найпростіше укриття,,20,так,Львівський,Львівська,Брюховичі,Антона Макаренка,11,,
Найпростіше укриття,,200,так,Львівський,Львівська,Гряда,Тараса Шевченка,36,,
Найпростіше укриття,,139,так,Львівський,Львівська,Львів,Горбачевського,4,49.8296258,24.007941254623695
Найпростіше укриття,,400,так,Львівський,Львівська,Львів,Роксоляни,27,49.7471506,24.00400302495596
Найпростіше укриття,,200,так,Львівський,Львівська,Гряда,Тараса Шевченка,30,,
Найпростіше укриття,,350,так,Львівський,Львівська,Львів,Низинна,17,49.841383750000006,23.971387284926614
Найпростіше укриття,,42,так,Львівський,Львівська,Львів,Богдана Лепкого,14,49.841555099999994,24.02013625655269
Найпростіше укриття,,185,так,Львівський,Львівська,Львів,Горбачевського,15,49.829939949999996,24.00814357698943
Найпростіше укриття,,223,так,Львівський,Львівська,Львів,Кульчицької,10А,49.8166869,23.97574823651394
Найпростіше укриття,,14,так,Львівський,Львівська,Львів,Богдана Лепкого,15,49.84130065,24.02068084969452
Найпростіше укриття,,450,так,Львівський,Львівська,Львів,Низинна,19,49.841053099999996,23.972208187754973
Найпростіше укриття,,330,так,Львівський,Львівська,Львів,Кульпарківська,182,49.8160933,23.9813504823821
Найпростіше укриття,,36,так,Львівський,Львівська,Львів,Богдана Лепкого,20,49.8411033,24.020296592615622
Найпростіше укриття,,200,так,Львівський,Львівська,Львів,Княгині Ольги,16,49.8248295,24.007395795583598
Найпростіше укриття,,30,так,Львівський,Львівська,Львів,Професора Івана Ковалика,1,49.8673528,23.951969313734004
Найпростіше укриття,,14,так,Львівський,Львівська,Львів,Богдана Лепкого,3,49.8425993,24.020496909027713
Найпростіше укриття,,100,так,Львівський,Львівська,Львів,Кастелівка,10,49.830896949999996,24.013903999999997
Найпростіше укриття,,340,так,Львівський,Львівська,Львів,Кушевича,1,49.851322100000004,24.025505911675705
Найпростіше укриття,,1076,так,Львівський,Львівська,Львів,Грушевського,56,49.833597469435475,24.03339458182189
Найпростіше укриття,,14,так,Львівський,Львівська,Львів,Богдана Лепкого,5,49.8422858,24.02051802544063
Найпростіше укриття,,89,так,Львівський,Львівська,Львів,Замарстинівська,219,49.8712818,24.017462140014338
Найпростіше укриття,,39,так,Львівський,Львівська,Львів,Богдана Лепкого,6,49.8424332,24.020103836612257
Найпростіше укриття,,100,так,Львівський,Львівська,Львів,Низинна,27,49.83985465,23.971403574367834
Найпростіше укриття,,30,так,Львівський,Львівська,Львів,Жовківська,8,49.853691049999995,24.03420841364211
Найпростіше укриття,,100,так,Львівський,Львівська,Львів,Кастелівка,16,49.8305556,24.01341154098332
